.draw	date	hosp	location
18	2023-10-21	0	NM
18	2023-10-22	0	NM
18	2023-10-23	0	NM
18	2023-10-24	2	NM
18	2023-10-25	0	NM
18	2023-10-26	0	NM
18	2023-10-27	0	NM
18	2023-10-28	0	NM
18	2023-10-29	0	NM
18	2023-10-30	0	NM
18	2023-10-31	0	NM
18	2023-11-01	0	NM
18	2023-11-02	0	NM
18	2023-11-03	0	NM
18	2023-11-04	0	NM
18	2023-11-05	0	NM
18	2023-11-06	0	NM
18	2023-11-07	0	NM
18	2023-11-08	0	NM
18	2023-11-09	0	NM
18	2023-11-10	0	NM
18	2023-11-11	0	NM
18	2023-11-12	0	NM
18	2023-11-13	0	NM
18	2023-11-14	0	NM
18	2023-11-15	0	NM
18	2023-11-16	0	NM
18	2023-11-17	0	NM
18	2023-11-18	0	NM
18	2023-11-19	0	NM
30	2023-10-21	0	NM
30	2023-10-22	0	NM
30	2023-10-23	1	NM
30	2023-10-24	1	NM
30	2023-10-25	0	NM
30	2023-10-26	3	NM
30	2023-10-27	0	NM
30	2023-10-28	2	NM
30	2023-10-29	0	NM
30	2023-10-30	1	NM
30	2023-10-31	2	NM
30	2023-11-01	2	NM
30	2023-11-02	0	NM
30	2023-11-03	5	NM
30	2023-11-04	1	NM
30	2023-11-05	2	NM
30	2023-11-06	3	NM
30	2023-11-07	4	NM
30	2023-11-08	2	NM
30	2023-11-09	1	NM
30	2023-11-10	1	NM
30	2023-11-11	2	NM
30	2023-11-12	5	NM
30	2023-11-13	3	NM
30	2023-11-14	2	NM
30	2023-11-15	4	NM
30	2023-11-16	5	NM
30	2023-11-17	2	NM
30	2023-11-18	0	NM
30	2023-11-19	3	NM
43	2023-10-21	0	NM
43	2023-10-22	0	NM
43	2023-10-23	0	NM
43	2023-10-24	1	NM
43	2023-10-25	0	NM
43	2023-10-26	1	NM
43	2023-10-27	0	NM
43	2023-10-28	0	NM
43	2023-10-29	0	NM
43	2023-10-30	0	NM
43	2023-10-31	0	NM
43	2023-11-01	0	NM
43	2023-11-02	0	NM
43	2023-11-03	0	NM
43	2023-11-04	0	NM
43	2023-11-05	0	NM
43	2023-11-06	0	NM
43	2023-11-07	0	NM
43	2023-11-08	0	NM
43	2023-11-09	0	NM
43	2023-11-10	0	NM
43	2023-11-11	0	NM
43	2023-11-12	0	NM
43	2023-11-13	0	NM
43	2023-11-14	0	NM
43	2023-11-15	0	NM
43	2023-11-16	0	NM
43	2023-11-17	0	NM
43	2023-11-18	0	NM
43	2023-11-19	0	NM
114	2023-10-21	0	NM
114	2023-10-22	2	NM
114	2023-10-23	1	NM
114	2023-10-24	1	NM
114	2023-10-25	0	NM
114	2023-10-26	0	NM
114	2023-10-27	0	NM
114	2023-10-28	0	NM
114	2023-10-29	0	NM
114	2023-10-30	2	NM
114	2023-10-31	1	NM
114	2023-11-01	1	NM
114	2023-11-02	1	NM
