disease	state_abb	state_code	state_name	perc_level_low	perc_level_moderate	perc_level_high	perc_level_very_high
Influenza	US	US	United States	0.339653993544693	1.92323278764894	3.5068115817532	5.09039037585745
COVID-19	US	US	United States	0.601509069090881	1.70419326288427	2.80687745667766	3.90956165047104
RSV	US	US	United States	0.0716383969527895	0.35553747427476	0.63943655159673	0.9233356289187
ARI	US	US	United States	10.4648426922243	13.8181574261492	17.1714721600741	20.524786893999
Influenza	AK	02	Alaska	0.980271843148604	3.27706539993575	5.57385895672289	7.87065251351003
COVID-19	AK	02	Alaska	0.910853966945788	2.45917900621476	4.00750404548373	5.5558290847527
RSV	AK	02	Alaska	0.108836758958285	0.776941155646192	1.4450455523341	2.11314994902201
ARI	AK	02	Alaska	12.0325208608167	15.7896879739664	19.5468550871162	23.3040222002659
Influenza	AL	01	Alabama	0.405774191534674	3.37678721933339	6.3478002471321	9.31881327493081
COVID-19	AL	01	Alabama	0.721251202776328	2.46576569857216	4.210280194368	5.9547946901638404
RSV	AL	01	Alabama	0.0549766487333309	0.48933369382138	0.923690738909429	1.35804778399748
ARI	AL	01	Alabama	11.0707571553582	15.9540807957783	20.8374044361984	25.7207280766185
Influenza	AR	05	Arkansas	0.407918012977306	2.61327017610197	4.81862233922664	7.02397450235131
COVID-19	AR	05	Arkansas	0.45144584816555	1.40132733439487	2.35120882062419	3.30109030685351
RSV	AR	05	Arkansas	0.0751933833915953	0.633327398862675	1.19146141433375	1.74959542980483
ARI	AR	05	Arkansas	8.61531194725447	11.9832893748361	15.3512668024178	18.7192442299994
Influenza	AZ	04	Arizona	0.416088204662123	2.14117700133523	3.86626579800833	5.59135459468143
COVID-19	AZ	04	Arizona	0.84685830428958	2.16651677001998	3.48617523575039	4.80583370148079
RSV	AZ	04	Arizona	0.0409779572441818	0.383211885015569	0.725445812786956	1.06767974055834
ARI	AZ	04	Arizona	11.4533628016604	15.3024693224721	19.1515758432838	23.0006823640955
Influenza	CA	06	California	0.226327183316214	1.69160209129706	3.15687699927791	4.62215190725875
COVID-19	CA	06	California	0.558108660515558	1.73564597703968	2.9131832935638	4.09072061008792
RSV	CA	06	California	0.0344265530499923	0.362341041789881	0.690255530529769	1.01817001926966
ARI	CA	06	California	11.0228425209899	14.9338128652802	18.8447832095704	22.7557535538606
Influenza	CO	08	Colorado	0.185509100201764	1.61218388046304	3.03885866072432	4.4655334409856
COVID-19	CO	08	Colorado	0.697231245966627	1.74398516098764	2.79073907600865	3.83749299102966
RSV	CO	08	Colorado	0.0431537609053263	0.668897107306689	1.29464045370805	1.92038380010942
ARI	CO	08	Colorado	12.4096908218521	16.6268464364414	20.8440020510308	25.0611576656201
Influenza	CT	09	Connecticut	0.20507343794368	2.16808276690581	4.13109209586794	6.09410142483008
COVID-19	CT	09	Connecticut	0.56429242884738	1.78858048168432	3.01286853452126	4.23715658735821
RSV	CT	09	Connecticut	0.027742021145623	0.254310764673641	0.48087950820166	0.707448251729679
ARI	CT	09	Connecticut	12.183243737408	16.562508840949	20.94177394449	25.3210390480311
Influenza	DC	11	District of Columbia	0.159476150800101	1.86715984989864	3.57484354899718	5.28252724809572
COVID-19	DC	11	District of Columbia	0.526433374147159	1.7120674978765	2.89770162160584	4.08333574533518
RSV	DC	11	District of Columbia	0.098625078652519	0.601922910551889	1.10522074245126	1.60851857435063
ARI	DC	11	District of Columbia	11.2120287686789	15.15450620356	19.0969836384412	23.0394610733224
Influenza	DE	10	Delaware	0.109073949476632	2.17023351649464	4.23139308351265	6.29255265053066
COVID-19	DE	10	Delaware	0.500070197051349	1.50823954874698	2.51640890044261	3.52457825213824
RSV	DE	10	Delaware	0.0929108216428634	0.723376592241813	1.35384236284076	1.98430813343971
ARI	DE	10	Delaware	9.86691707533298	13.6141171814386	17.3613172875442	21.1085173936498
Influenza	FL	12	Florida	0.836011839170292	2.08527355145154	3.3345352637328	4.58379697601405
COVID-19	FL	12	Florida	1.1049827880024	2.55967138225653	4.01435997651066	5.46904857076479
RSV	FL	12	Florida	0.090842972515709	0.276793454076287	0.462743935636866	0.648694417197444
ARI	FL	12	Florida	13.682909199968	16.0678095777651	18.4527099555622	20.8376103333594
Influenza	GA	13	Georgia	0.332114011595581	2.16634716346359	4.0005803153316	5.83481346719961
